Article title,Article subtitle,Article URL,Article body,Category,Keywords
How to build a crew for CrewAI Enterprise,"Building crews with ""crewai create name"" CLI",https://help.crewai.com/how-to-build-a-crew-for-crewai,"<div class=""hs-embed-wrapper hs-fullwidth-embed"" style=""position: relative; overflow: hidden; width: 100%; height: auto; padding: 0px; min-width: 256px; display: block; margin: auto;"" data-service=""youtube"" data-responsive=""true""><div class=""hs-embed-content-wrapper""><div style=""position: relative; overflow: hidden; max-width: 100%; padding-bottom: 75%; margin: 0px;""><iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/d1Yp8eeknDk?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen="""" title=""crewai+ demo"" style=""position: absolute; top: 0px; left: 0px; width: 100%; height: 100%; border: none;""></iframe></div></div></div>
<h3>Disclaimer: User crewAI version 0.30.11 or newer</h3>
<h3>1. Installation and Setup</h3>
<p>Ensure that you have the latest version of CrewAI installed. <br>If you're new to CrewAI, <a href=""http://docs.crewai.com/how-to/Installing-CrewAI"" target=""_blank"" rel=""noopener"">visit our official docs to download the software and find comprehensive installation instructions.</a></p>
<div>
<div>To install crewAI, you need to have <strong>Python &gt;=3.10 and &lt;=3.13</strong> installed on your system:</div>
<div><strong>Make sure you are using CrewAI version 0.30.11 or newer!</strong></div>
<pre># Install the mains CrewAI package<br>pip install crewai<br><br><br># Install the main CrewAI package and the tools package<br># that includes a series of helpful tools for your agents<br>pip install 'crewai[tools]'</pre>
</div>
<h3>2. Creating a New Project</h3>
<p>To create a new project, open your terminal and execute the following command:</p>
<pre>crewai create crew your_project_name</pre>
<p>This command initializes a new project and automatically generates the necessary files for your crew, laying the groundwork for your AI-driven team-building process.</p>
<h3>3. Understand your project files</h3>
<div>
<div>You can now go into your project folder:</div>
<pre>cd your_project_name</pre>
<p>Within this folder you will find your initial crew project structure, these are the main files:</p>
<div>
<pre>.<br>├── README.md<br>├── poetry.lock<br>├── pyproject.toml<br>├── .env<br>├── .gitignore<br>├── trained_agents_data.pkl (created after you run training mode)<br>├── training_data.pkl &nbsp; &nbsp; &nbsp; (created after you run training mode)<br>├── src<br>│ &nbsp; └── your_project_name<br>│ &nbsp; &nbsp; &nbsp; ├── __init__.py<br>│ &nbsp; &nbsp; &nbsp; ├── config<br>│ &nbsp; &nbsp; &nbsp; │ &nbsp; ├── agents.yaml<br>│ &nbsp; &nbsp; &nbsp; │ &nbsp; └── tasks.yaml<br>│ &nbsp; &nbsp; &nbsp; ├── crew.py<br>│ &nbsp; &nbsp; &nbsp; ├── main.py<br>│ &nbsp; &nbsp; &nbsp; └── tools<br>│ &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ├── __init__.py<br>│ &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; └── custom_tool.py<br>└── tests</pre>
<h4>Main files</h4>
<div>- <code>src/your_project_name/config/agents.yaml</code> to define your agents</div>
<div>- <code>src/your_project_name/config/tasks.yaml</code> to define your tasks</div>
<div>- <code>src/your_project_name/tools/custom_tool.py</code> example of a custom tool</div>
<div>- <code>src/your_project_name/crew.py</code> to add your own logic, tools and specific args</div>
<div>- <code>src/your_project_name/main.py</code> runs your crew locally.</div>
<div>- <code>src/your_project_name/.env</code> holds your environment variables</div>
</div>
<div>&nbsp;</div>
<div>
<h3>4. Environment Variables</h3>
<p>You will probably need environment variables to connect to your LLM provider or other tools, locally you can set them by using the <code>src/your_project_name/.env</code> file.</p>
<h3>5. Installing Dependencies</h3>
</div>
<div>First, if you haven't already, install Poetry:</div>
<pre>pip install poetry</pre>
<div>Next, install the dependencies (in your project directory):</div>
<pre>poetry install</pre>
<div>
<h3>6. Running your crew locally</h3>
</div>
<div>
<div>To kickstart your crew of AI agents and begin task execution, run this from the root folder of your project:</div>
<pre>crewai run<br><br>OR<br><br>poetry run your_project_name</pre>
<div><span style=""color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);"">&nbsp;</span></div>
<div>
<h3>7. Deploy your crew to crewAI&nbsp;Enterprise</h3>
<p>For learning more about deploying to crewAI Enterprise check our help center article about it.</p>
</div>
<div><span style=""color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);"">For further assistance or queries, feel free to <a href=""mailto:support@crewai.com"" rel=""noopener"">contact our support team</a> (support@crewai.com).</span></div>
</div>
</div>
<p><br>Welcome to the future of team building with CrewAI Enterprise</p>",Getting started,"creating crew,crewai+,env vars,creating agents,creating tasks"
How is task execution handled in the hierarchical process?,A manager agent is automatically created,https://help.crewai.com/how-is-task-execution-handled-in-the-hierarchical-process,"In the hierarchical process, a manager agent is automatically created and coordinates the workflow, delegating tasks and validating outcomes for streamlined and effective execution. The manager agent utilizes tools to facilitate task delegation and execution by agents under the manager's guidance. The manager LLM is crucial for the hierarchical process and must be set up correctly for proper function.",FAQs,
Deploying your crew to crewAI Enterprise,Step by step on how to deploy you crew to CrewAI Enterprise using Github ,https://help.crewai.com/deploying-your-crew-to-crewai,"<div>
<div>Turning your crew into an API and bringing it to production is pretty simple, it is a 3 step process:</div>
<ol>
<li>Pushing to Github</li>
<li>&nbsp;Connecting Github to CrewAI Enterprise</li>
<li>Select the desired crew repository</li>
<li>Set environment variables</li>
<li>Click on deploy</li>
<li>Test your live crew</li>
</ol>
</div>
<h3>1. Pushing to Github</h3>
<div>First, you need to push your crew to a Github repository, <a href=""https://help.crewai.com/how-to-build-a-crew-for-crewai"" target=""_blank"" rel=""noopener"">if you haven't created a crew yet you can follow this tutorial.</a></div>
<div>&nbsp;</div>
<div>
<h3>2. Connecting Github to CrewAI Enterprise</h3>
<p>When you log into CrewAI you can click on the button ""Connect Github""</p>
<p><img alt=""Screenshot 2024-04-14 at 18.09.44"" height=""171"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/Screenshot%202024-04-14%20at%2018.09.44.png"" width=""670"" loading=""lazy""></p>
</div>
<h3>3. Select the design crew repository</h3>
<p>When you log into CrewAI you can click on the button ""Connect Github""</p>
<p><img alt=""Screenshot 2024-04-14 at 18.16.34"" height=""213"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/Screenshot%202024-04-14%20at%2018.16.34.png"" width=""670"" loading=""lazy""></p>
<h3>4. Set environment variables</h3>
<p>You will need your environment variables to connect to your LLM provider or other tools, you can set them in bulk or individually before the deploy:</p>
<p><img alt=""Screenshot 2024-04-14 at 18.17.16"" height=""297"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/Screenshot%202024-04-14%20at%2018.17.16.png"" width=""670"" loading=""lazy""></p>
<h3>5. Deploy your crew</h3>
<p>After you click on deploy, you will be able to monitor the progress through a progress bar, initially the first deploy takes around 10m-15m. Deploys after this initial one will be faster.</p>
<p><img alt=""Screenshot 2024-04-14 at 18.22.02"" height=""415"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/Screenshot%202024-04-14%20at%2018.22.02.png"" width=""670"" loading=""lazy""></p>
<p>&nbsp;</p>",Getting started,
Updating my crew in CrewAI Enterprise ,Updating your crew code in your CrewAI deployment,https://help.crewai.com/updating-my-crew-in-crewai,"<p>crewAI won't automatically pick up Github updates as default, so you will probably find yourself wanting to update you crew manually eventually.&nbsp;</p>
<p>There are a few different reasons for you to update your crew deployment:</p>
<ul>
<li>You want to update the code with a latest commit you pushed to Github</li>
<li>You want to reset the bearer token for security reasons</li>
<li>You want to update environment variables</li>
</ul>
<h3>1. Just updating your crew for a latest commit</h3>
<p>All you have to do is to click on the ""Re-deploy"" button on your crew and that should trigger an update that you can tag along using a progress bar.</p>
<p><img alt=""Screenshot 2024-04-15 at 04.05.03"" height=""331"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/Screenshot%202024-04-15%20at%2004.05.03.png"" width=""670"" loading=""lazy""></p>
<h3>2. Reset bearer token</h3>
<p>You might find yourself wanting to re-deploy while also reseting the bearer token protecting your app as you might have inadvertently leaked it.&nbsp;</p>
<p><img alt=""Screenshot 2024-04-15 at 04.05.47"" height=""331"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/Screenshot%202024-04-15%20at%2004.05.47.png"" width=""670"" loading=""lazy""></p>
<h3>3. Updating Environment Variables</h3>
<p>You might find yourself wanting to update your environment variables, maybe to change a model or another integration. If that is the case you want to go into the deployment page and update the values from there.</p>
<p>First access the deployment page by clicking the crew's name.</p>
<p><img alt=""Screenshot 2024-04-15 at 04.06.31"" height=""333"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/Screenshot%202024-04-15%20at%2004.06.31.png"" width=""670"" loading=""lazy""></p>
<p>Now you can go into the Environment variable section and update values from there,a nd click on the update deployment button, this will also trigger a new deploy but this will only update the environment variables and not the code itself</p>
<p><img alt=""Screenshot 2024-04-15 at 04.08.39-1"" height=""465"" style=""height: auto; max-width: 100%; width: 670px;"" src=""https://45732688.fs1.hubspotusercontent-na1.net/hubfs/45732688/Screenshot%202024-04-15%20at%2004.08.39-1.png"" width=""670"" loading=""lazy""></p>
<p>&nbsp;</p>
<p>&nbsp;</p>",Getting started,"creating crew,crewai+,env vars,updating crews,bearer token,reset bearer token"
Using your crew's API in CrewAI Enterprise,How to turn your crew into an API within seconds and use it,https://help.crewai.com/using-your-crews-api-in-crewai,"<p>This article assumes you already <a href=""https://help.crewai.com/how-to-build-a-crew-for-crewai"" target=""_blank"" rel=""noopener"">build your crew</a> and <a href=""https://help.crewai.com/deploying-your-crew-to-crewai"" target=""_blank"" rel=""noopener"">deployed it on CrewAI</a><br>Assuming you have your crew live, you should have a base URL and a Bearer Token that got generated for you.&nbsp;</p>
<p>Now your crew is basically an API and you call it using two main REST endpoints:</p>
<ul>
<li><code>[GET] /inputs</code> - List all required inputs for the crew kickoff</li>
<li><code>[POST] /kickoff</code> - Starts a crew passing it's inputs and optional callbacks, you get back a <code>task_id</code></li>
<li>
<div><code>[GET] /status/{task_id}</code> - Using the <code>task_id</code> from the /kickoff request you can now pull this endpoint to get the task completion</div>
</li>
</ul>
<p>All endpoints are protected by a bearer token that is unique to your app, and that should be send using the authorization header.</p>
<h3>Inputs Endpoint</h3>
<p>The inputs endpoint is useful for you to programmatically learn the required inputs for your crew.</p>
<h3>Meta&nbsp;</h3>
<p>Allows you to pass in additional parameter</p>
<h3>Kickoff Endpoint</h3>
<p>The kickoff endpoint requires at least one attribute called <code>input</code> this input should be a dictionary with all the attributes the crew expects, anything you interpolated on the agents or tasks.</p>
<p>The kickoff endpoint also supports 3 extra arguments:</p>
<ul>
<li><code>taskWebhookUrl</code> - Callback that will be executed upon the end of each task</li>
<li>
<div>
<div><code>stepWebhookUrl</code> <span style=""color: var(--primary-body-font-color); font-family: var(--primary-body-font-family); font-size: var(--primary-body-font-size); font-style: var(--primary-body-font-style); font-weight: var(--primary-body-font-weight);"">- Callback that will be executed upon each agent inner thought</span></div>
</div>
</li>
<li><code>crewWebhookUrl</code> - Callback that will be executed upon the end of the crew execution</li>
</ul>
<p>Here is an example of an input for a Trip Planner crew:</p>
<div>
<pre>{<br>  ""inputs"": {<br>  &nbsp; ""budget"": ""1000 USD"",<br>  &nbsp; ""interests"": ""games, tech, ai, relaxing hikes, amazing food"",<br>  &nbsp; ""duration"": ""7 days"",<br>  &nbsp; ""age"": ""35""<br>  },<br>  ""meta"": ""...."",<br>  ""taskWebhookUrl"": ""https://..."",<br>  ""stepWebhookUrl"": ""https://..."",<br>  ""crewWebhookUrl"": ""https://...""<br>}</pre>
<h3>Status Endpoint</h3>
<p>The status endpoint allows you to tag along an execution by polling on this endpoint until you the get the full result of your crew.</p>
<br><br></div>",Getting started,"creating crew,crewai+,api"
How can you control the maximum number of requests per minute that the entire crew can perform?,The max_rpm attribute,https://help.crewai.com/how-can-you-control-the-maximum-number-of-requests-per-minute-that-the-entire-crew-can-perform,<p>The&nbsp;<code>max_rpm</code>&nbsp;attribute sets the maximum number of requests per minute the crew can perform to avoid rate limits and will override individual agents'&nbsp;<code>max_rpm</code>&nbsp;settings if you set it.</p>,FAQs,creating crew
Where can I get the latest crewAI documentation?,https://docs.crewai.com/,https://help.crewai.com/where-can-i-get-the-latest-crewai-documentation,"The most up-to-date documentation for crewAI is available on our official documentation website <a href=""https://docs.crewai.com/"" target=""_blank"" rel=""noreferrer noopener"">https://docs.crewai.com/</a>",FAQs,
Ware are the Key Differences Between Hierarchical and Sequential Processes in CrewAI,The hierarchical process is better suited for complex projects because it allows for:,https://help.crewai.com/ware-are-the-key-differences-between-hierarchical-and-sequential-processes-in-crewai,"<p><strong>Key Differences Between Hierarchical and Sequential Processes in CrewAI</strong></p>
<ul>
<li><strong>Hierarchical Process:</strong>
<ul>
<li>Tasks are delegated and executed based on a structured chain of command.</li>
<li>A manager language model (manager_llm) must be specified for the manager agent.</li>
<li>Manager agent oversees task execution, planning, delegation, and validation.</li>
<li>Tasks are not pre-assigned; the manager allocates tasks to agents based on their capabilities.</li>
</ul>
</li>
<li><strong>Sequential Process:</strong>
<ul>
<li>Tasks are executed one after another, ensuring tasks are completed in an orderly progression.</li>
<li>Output of one task serves as context for the next.</li>
<li>Task execution follows the predefined order in the task list.</li>
</ul>
</li>
</ul>
<p><strong>Which Process is Better Suited for Complex Projects?</strong></p>
<p>The hierarchical process is better suited for complex projects because it allows for:</p>
<ul>
<li><strong>Dynamic task allocation and delegation:</strong>&nbsp;Manager agent can assign tasks based on agent capabilities, allowing for efficient resource utilization.</li>
<li><strong>Structured validation and oversight:</strong>&nbsp;Manager agent reviews task outputs and ensures task completion, increasing reliability and accuracy.</li>
<li><strong>Complex task management:</strong>&nbsp;Assigning tools at the agent level allows for precise control over tool availability, facilitating the execution of intricate tasks.</li>
</ul>",FAQs,
What are the benefits of using memory in the CrewAI framework?,Benefits of using memory in CrewAI framework:,https://help.crewai.com/what-are-the-benefits-of-using-memory-in-the-crewai-framework,"<ul>
<li><strong>Adaptive Learning:</strong>&nbsp;Crews become more efficient over time, adapting to new information and refining their approach to tasks.</li>
<li><strong>Enhanced Personalization:</strong>&nbsp;Memory enables agents to remember user preferences and historical interactions, leading to personalized experiences.</li>
<li><strong>Improved Problem Solving:</strong>&nbsp;Access to a rich memory store aids agents in making more informed decisions, drawing on past learnings and contextual insights.</li>
</ul>",FAQs,
What is the purpose of setting a maximum RPM limit for an agent?,,https://help.crewai.com/what-is-the-purpose-of-setting-a-maximum-rpm-limit-for-an-agent,"Setting a maximum RPM limit for an agent prevents the agent from making too many requests to external services, which can help to avoid rate limits and improve performance.",FAQs,
